id,overlap,truth,detected,latencyMs,targetAttenuationDb,speechPreservationDb
speech-clean-01,false,false,NOT_RUN,,,
speech-clean-02,false,false,NOT_RUN,,,
speech-clean-03,false,false,NOT_RUN,,,
speech-clean-04,false,false,NOT_RUN,,,
speech-clean-05,false,false,NOT_RUN,,,
speech-clean-06,false,false,NOT_RUN,,,
speech-clean-07,false,false,NOT_RUN,,,
speech-clean-08,false,false,NOT_RUN,,,
speech-clean-09,false,false,NOT_RUN,,,
speech-clean-10,false,false,NOT_RUN,,,
speech-clean-11,false,false,NOT_RUN,,,
speech-clean-12,false,false,NOT_RUN,,,
speech-clean-13,false,false,NOT_RUN,,,
speech-clean-14,false,false,NOT_RUN,,,
speech-clean-15,false,false,NOT_RUN,,,
trigger-alarm-01,false,true,NOT_RUN,,,
trigger-alarm-02,false,true,NOT_RUN,,,
trigger-alarm-03,false,true,NOT_RUN,,,
trigger-music-01,false,true,NOT_RUN,,,
trigger-music-02,false,true,NOT_RUN,,,
trigger-music-03,false,true,NOT_RUN,,,
trigger-noise-01,false,true,NOT_RUN,,,
trigger-noise-02,false,true,NOT_RUN,,,
trigger-noise-03,false,true,NOT_RUN,,,
overlap-alarm-01,true,true,NOT_RUN,,,
overlap-alarm-02,true,true,NOT_RUN,,,
overlap-alarm-03,true,true,NOT_RUN,,,
overlap-alarm-04,true,true,NOT_RUN,,,
overlap-alarm-05,true,true,NOT_RUN,,,
overlap-music-01,true,true,NOT_RUN,,,
overlap-music-02,true,true,NOT_RUN,,,
overlap-music-03,true,true,NOT_RUN,,,
overlap-music-04,true,true,NOT_RUN,,,
overlap-music-05,true,true,NOT_RUN,,,
overlap-noise-01,true,true,NOT_RUN,,,
overlap-noise-02,true,true,NOT_RUN,,,
